Código;Cond. Pagto;Descricao
G81;240;240 DIAS
G82;270;270 DIAS
G83;28,59;28 / 59 DIAS
G84;19,50,81;19/50/81 DIAS
G85;28,59,90;28 59 90 - DIAS
G86;30,61;30, 61 DIAS
G87;20,41,60;20, 41, 60 DIAS
G88;09,39,70,101;09/39/70/101
G89;72;72 DIAS
G90;71;71 DIAS
G91;31,62,90;31, 62 , 90 DIA
G92;72;72 DIAS
G93;18,46;18,46 DIAS
G94;1,20,40;1,20,40
G95;0,20,40;VISTA, 20, 40
G96;69;69 DIAS
G97;99;99 DIAS
G99;0;NF QUITADA
GEN;1,10,7,25;10D-VCT 7,25
GLD;34,64,95,125;34,64,95,125DIA
GTG;0,3;A VISTA, 30DIAS
GTR;13,35,65,96,127;13,35,65,96,127
GUI;30,45,60;30,45,60DIAS
ICL;1,28,10,25;VCTO 10 E 25
IED;1,15,10,25;VENC 10 E 25
IHA;1,30,6;IHARA
IND;1,15,10,20,30;INDOFIL
ITA;1,15,25;25 DE CADA MES.
JOR;16,46,77,108;16, 46, 77, 108
KIM;1,15,15,30;KIMBERLLI
M01;19,39,57;19,39,57DIAS
M10;17,39,61;17,39,61DIAS
M11;22,52,80,111,142;2252,80,111,142
M12;28,59,87;28,59,87DIAS
M13;31,6;31,6
M14;27,58,86;27,58,86DIAS
M15;35,64,92;35,64,92DIAS
M16;22,53,81;22,53,81DIAS
M17;27,55;27,55DIAS
M18;27,55,86;27,55,86DIAS
M20;14,44;14,44DIAS
M21;20,51;20,51DIAS
M22;30,58,87;30,58,87DIAS
M23;28,56,87,117,148;28,56,87,117148
M24;20,39,60;20,39,60DIAS
M25;20,36;20,36DIAS
M26;28,59,89,122;28,59,89,122DIA
M27;19,5;19,50DIAS
M28;28,59,89,122,150;28,59,89,122,15
M29;22,39;22,39DIAS
M30;21,45,77;21,45,77DIAS
M31;23,43;23,43DIAS
M32;18,44;18,44DIAS
M33;20,49,80;20,49,80DIAS
M34;25,56;25,56DIAS
M35;43,73;43,73 DIAS
M38;28,45;28,45DIA
M41;20,48;20,48DIAS
M42;31,61,91;31,61,91DIAS
M43;35,42,49;35,42,49DIAS
M44;34,62,93;34,62,93DIAS
M45;34,67,99;34,67,99DIAS
M46;31,59;31,59DIAS
M47;24,52;24,52DIAS
M48;26,54,86;26,54,86DIAS
M49;32,53;32,53DIAS
M5;8,38;8,38 DIAS
M50;10,20,30;10,20,30DIAS
M52;28,61,91;28,61,91DIAS
M54;21,49,77;21,49,77DIAS
M55;30,60,90,120,150;30,60,90,120,15
M56;18,48;18,48DIAS
M60;28,58,73;28,58,73DIAS
M68;30,44,58;30,44,58DIAS
M88;39,69,100;39,69,100DIAS
MOU;19,47;19,47 DIAS
N10;28,43,58;28,43,58 DIAS
N11;28,43,58,73,88;28,43,58,73,88D
N12;28,59,90;28,59,90DIAS
N13;28,56,72;28,56,92
N14;28,56,72;28,56,72DIAS
N15;7,30,60,90;7,30,60,90DIAS
N17;1,60,15,25;SUMITOMO
N3;26,56,87;26,56,87DIAS
N4;61;61 DIAS
N5;64;64 DIAS
N6;113;113 DIAS
N7;115;115 DIAS
N8;78;78 DIAS
N9;74;74DIAS
NEL;1,15,10,20;NELCAR
NID;1,60,4,0;SYNGENTA SEEDS
P01;1,1;1 PARCELA
POL;1,30,4;POLYEXCEL
R01;30,58,86;30,58,86DIAS
R02;30,49,63;30,49,63DIAS
R03;35,49,63;35,49,63DIAS
R05;10,3;10,30 DIAS
R06;24,52,80;24,52,80DIAS
R11;15,3;15,30DIAS
R15;16,34;16,34DIAS
R17;19,26;19,26DIAS
R20;20,40,60,90;20,40,60,90DIAS
R21;20,40,60;20,40,60DIAS
R25;8,39;8,39DIAS
R35;32,63,92123,153,184;3,26392E+14
R36;4;4 PARCELAS
R42;10,2;10,20DIAS
R45;31,60,90,122,150,180;3,1609E+14
R58;15,25,25;15,25,25DIAS
RIZ;1,25;RIZOBACTER
S01;48,30,17;K GIRO SANTANDE
S02;59,15,17;JUROS KGIRO SAN
S03;24,30,28;24,30,28 KG BB
S04;36,30,28;36,30,28 JUR BB
S05;60,30,16;60,30,16 HP
S06;35,30,28;35,30,28 JUR BB
S07;48,30,30;REFIS ICMS
S08;60,10,19;HP LTR
S09;28,56,84;28,56,84 DIAS
S10;98;98DIAS
S11;28,49,70;28,49,70DIAS
S12;28,58,88;28,58,88DIAS
S13;28,58,89;28,58,89DIAS
S15;27,57;27,57DIAS
S17;28,56,87;28,56,87 DIAS
S18;30,4;30,40 DIAS
S19;1,3;AVISTA,30DIAS
S2;21,5;21,50DIAS
S20;1,60,90;AVISTA,30/90DIA
S21;1,60,90;AVISTA,60/90D
S22;13,43;13,43DIAS
S23;28,56,84,112;28,56,84,112DIA
S24;42,77,108;42,77,108DIAS
S25;25,55;25,55DIAS
S26;28,43;28,43DIAS
S27;25,53;25,53DIAS
S28;24,53;24,53DIAS
S29;27,55,88;27,55,88DIAS
S3;2,30,60;2,30,60 DIAS
S30;43,74;43,74DIAS
S31;35,66,97,125;35,66,97,125DIA
S32;27,55,68;27,55,68DIAS
S33;38,73,104;38,73,104DIAS
S34;30,60,90,120,150;30,60,90,120,15
S35;30,62,92,120,151;30,62,92,120,15
S36;29,6;29,60DIAS
S37;21,37,60;21,37,60DIAS
S38;28,59,91;28,59,91DIAS
S39;25,57,87;25,57,87DIAS
S4;27,55,83;27,55,83DIAS
S40;29,59,91;29,59,91DIAS
S41;28,58;28,28DIAS
S42;28,58;28,58DIAS
S43;15,43;15,43DIAS
S44;22,54,84;22,54,84DIAS
S45;36,20,01;36,20,01 DIAS
S46;30,30,09;30,30,09
S47;28,59,90,118;29,59,91,118DIA
S48;28,59,90,118;28,59,90,118DIA
S49;30,62,92,120,151;30,62,92,120,15
S5;27,56,88;27,56,88DIAS
S50;30,62,92,120,151;30,62,92,120,15
S51;16,44,77;16,44,77DIAS
S52;30,62,92,120;30,62,92,120DIA
S53;24,54,84;24,54,84DIAS
S54;26,59;26,59DIAS
S55;20,51,83;20,51,83DIAS
S56;25,54;25,54DIAS
S57;59,01,24;DEBITOS IOF PAR
S58;59,03,26;INSS REC TRABAL
S59;27,60,89;27,60,89DIAS
S6;25,57;25,57DIAS
S60;35,42,49;35,42,49DIAS
S61;36,59,23;PARC ALUGUEL
S62;28,59,90,118,150;28,59,90,118,15
S63;35,65;35,65DIAS
S64;34,64;34,64DIAS
S65;34,41,48;34,41,48DIAS
S66;33,63,91;33,63,91DIAS
S67;27,57,85,117;27,57,85,117DIA
S68;28,60,88;28,60,88DIAS
S69;25,42;25,42DIAS
S7;33,63,91,122;33,63,91,122DIA
S70;29,60,88;29,60,88DIAS
S71;30,62,90;30,62,90DIAS
S72;165;165DIAS
S73;97;97DIAS
S74;93;93DIAS
S75;88;88DIAS
S76;93;93DIAS
S77;93;93DIAS
S78;88;88DIAS
S79;82;82DIAS
S8;27,57,85;27,57,85DIAS
S80;81;81DIAS
S81;78;78DIAS
S82;77;77DIAS
S83;76;76DIAS
S84;74;74DIAS
S85;63;63DIAS
S86;56;56DIAS
S87;87;87DIAS
S88;53;53DIAS
S89;46;46DIAS
S9;27,56,87;27,56,87DIAS
S90;42;42DIAS
S91;34,62;34,62DIAS
S92;27,49,74,99;27,49,74,99DIAS
